company_id,pros,cons,sentiment_score,confidence_score
LTIM,"Excellent return on equity (ROE) of 22.9% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 25.2% shows highly profitable operations.
Conservative leverage with a healthy Debt-to-Equity of 0.10.
Robust long-term top-line growth with a 5-year Sales CAGR of 30.3%.
Accelerated earnings expansion with a 5-year PAT CAGR of 24.8%.
Strong cash generation with a latest Free Cash Flow of ₹1,752.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.24).
Excellent debt servicing capacity with an Interest Coverage Ratio of 31.9x.
Attractive dividend yield of 4.4% provides stable cash income.",Subject to general macroeconomic cycles and equity market volatility risks.,0.9887,0.85
MM,Solid market presence as part of the Nifty 100 blue-chip universe.,"Latest free cash flow is negative (₹-11,245.0 Cr), requiring external capital or cash drawdowns.
Lower earnings quality with a CFO/PAT ratio of only -0.46, indicating accrual drag.",-0.0516,0.85
MARUTI,"Conservative leverage with a healthy Debt-to-Equity of 0.00.
Strong cash generation with a latest Free Cash Flow of ₹4,936.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.25).
Excellent debt servicing capacity with an Interest Coverage Ratio of 117.9x.",Premium asset pricing with a high Price-to-Book multiple of 8.3.,0.9607,0.85
MOTHERSON,"Strong cash generation with a latest Free Cash Flow of ₹925.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 2.51).",Subject to general macroeconomic cycles and equity market volatility risks.,0.836,0.85
NAUKRI,"Conservative leverage with a healthy Debt-to-Equity of 0.01.
Robust long-term top-line growth with a 5-year Sales CAGR of 17.1%.
Excellent debt servicing capacity with an Interest Coverage Ratio of 29.0x.
Attractive dividend yield of 4.3% provides stable cash income.","Subpar return on equity (ROE) of 2.0% indicates weak profitability relative to equity.
Low return on capital employed (ROCE) of 2.2% shows inefficient capital allocation.
Sluggish earnings performance with a 5-year PAT CAGR of 0.1%.
Latest free cash flow is negative (₹-150.0 Cr), requiring external capital or cash drawdowns.
Premium asset pricing with a high Price-to-Book multiple of 8.3.
Asset-heavy or inefficient operations with a low asset turnover of 0.07.",0.9169,0.85
NESTLEIND,"Excellent return on equity (ROE) of 117.8% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 129.5% shows highly profitable operations.
Conservative leverage with a healthy Debt-to-Equity of 0.10.
Strong cash generation with a latest Free Cash Flow of ₹2,938.0 Cr.
Excellent debt servicing capacity with an Interest Coverage Ratio of 41.2x.
Attractive dividend yield of 3.9% provides stable cash income.
Efficient asset utilization with an asset turnover ratio of 2.32.",Premium asset pricing with a high Price-to-Book multiple of 14.3.,0.9903,0.85
NHPC,"Strong cash generation with a latest Free Cash Flow of ₹970.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.72).
Excellent debt servicing capacity with an Interest Coverage Ratio of 11.2x.","Stagnant revenue growth with a 5-year Sales CAGR of only 1.4%.
Stock trades at a premium valuation multiple with a high P/E ratio of 71.2 (above sector median of 44.9).
Premium asset pricing with a high Price-to-Book multiple of 13.7.
Asset-heavy or inefficient operations with a low asset turnover of 0.10.",0.9623,0.85
NTPC,"Strong cash generation with a latest Free Cash Flow of ₹8,644.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.91).",Asset-heavy or inefficient operations with a low asset turnover of 0.37.,0.886,0.85
ONGC,"Strong cash generation with a latest Free Cash Flow of ₹42,060.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.74).
Excellent debt servicing capacity with an Interest Coverage Ratio of 11.4x.
Generous free cash flow yield of 10.8% indicates undervaluation.",Premium asset pricing with a high Price-to-Book multiple of 10.4.,0.9729,0.85
PFC,"Excellent return on equity (ROE) of 26.2% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 28.8% shows highly profitable operations.","Latest free cash flow is negative (₹-101,229.0 Cr), requiring external capital or cash drawdowns.
Lower earnings quality with a CFO/PAT ratio of only -3.70, indicating accrual drag.
Weak debt servicing cushion with an Interest Coverage Ratio of only 0.58x.
Asset-heavy or inefficient operations with a low asset turnover of 0.09.",0.8016,0.85
PIDILITIND,"Excellent return on equity (ROE) of 20.8% indicates high capital efficiency.
Conservative leverage with a healthy Debt-to-Equity of 0.05.
Strong cash generation with a latest Free Cash Flow of ₹955.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.56).
Excellent debt servicing capacity with an Interest Coverage Ratio of 54.3x.",Premium asset pricing with a high Price-to-Book multiple of 12.3.,0.9766,0.85
PNB,"Excellent return on equity (ROE) of 61.3% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 67.5% shows highly profitable operations.
Robust long-term top-line growth with a 5-year Sales CAGR of 15.9%.
Efficient asset utilization with an asset turnover ratio of 1.51.","Latest free cash flow is negative (₹-29,445.0 Cr), requiring external capital or cash drawdowns.
Lower earnings quality with a CFO/PAT ratio of only -3.05, indicating accrual drag.
Premium asset pricing with a high Price-to-Book multiple of 10.9.",0.9711,0.85
POWERGRID,"Strong cash generation with a latest Free Cash Flow of ₹24,176.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 2.39).
Attractive dividend yield of 3.1% provides stable cash income.
Generous free cash flow yield of 6.5% indicates undervaluation.",Asset-heavy or inefficient operations with a low asset turnover of 0.18.,0.9686,0.85
RECLTD,Excellent return on equity (ROE) of 20.4% indicates high capital efficiency.,"Latest free cash flow is negative (₹-59,554.0 Cr), requiring external capital or cash drawdowns.
Lower earnings quality with a CFO/PAT ratio of only -4.08, indicating accrual drag.
Weak debt servicing cushion with an Interest Coverage Ratio of only 1.60x.
Asset-heavy or inefficient operations with a low asset turnover of 0.09.",0.1779,0.85
RELIANCE,"Strong cash generation with a latest Free Cash Flow of ₹45,207.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 2.01).
Attractive dividend yield of 4.2% provides stable cash income.
Generous free cash flow yield of 10.5% indicates undervaluation.",Subject to general macroeconomic cycles and equity market volatility risks.,0.9618,0.85
SBILIFE,"Company is completely debt-free, minimizing leverage risk.
Robust long-term top-line growth with a 5-year Sales CAGR of 24.2%.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 15.38).
Excellent debt servicing capacity with an Interest Coverage Ratio of 240.3x.","Latest free cash flow is negative (₹-2,099.0 Cr), requiring external capital or cash drawdowns.
Stock trades at a premium valuation multiple with a high P/E ratio of 70.0 (above sector median of 34.2).
Premium asset pricing with a high Price-to-Book multiple of 9.5.
Asset-heavy or inefficient operations with a low asset turnover of 0.33.",0.9186,0.85
SBIN,"Accelerated earnings expansion with a 5-year PAT CAGR of 83.4%.
Strong cash generation with a latest Free Cash Flow of ₹18,156.0 Cr.","Lower earnings quality with a CFO/PAT ratio of only 0.31, indicating accrual drag.
Weak debt servicing cushion with an Interest Coverage Ratio of only 0.37x.
Stock trades at a premium valuation multiple with a high P/E ratio of 54.9 (above sector median of 34.2).",0.2732,0.85
SHREECEM,"Conservative leverage with a healthy Debt-to-Equity of 0.08.
Strong cash generation with a latest Free Cash Flow of ₹1,929.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.93).
Excellent debt servicing capacity with an Interest Coverage Ratio of 19.8x.
Attractive dividend yield of 3.2% provides stable cash income.",Low return on capital employed (ROCE) of 9.2% shows inefficient capital allocation.,0.9633,0.85
SHRIRAMFIN,"Robust long-term top-line growth with a 5-year Sales CAGR of 18.6%.
Accelerated earnings expansion with a 5-year PAT CAGR of 23.5%.","Latest free cash flow is negative (₹-31,359.0 Cr), requiring external capital or cash drawdowns.
Lower earnings quality with a CFO/PAT ratio of only -4.20, indicating accrual drag.
Weak debt servicing cushion with an Interest Coverage Ratio of only 0.68x.
Stock trades at a premium valuation multiple with a high P/E ratio of 68.5 (above sector median of 34.2).
Asset-heavy or inefficient operations with a low asset turnover of 0.15.",-0.128,0.85
SIEMENS,Attractive dividend yield of 3.7% provides stable cash income.,Premium asset pricing with a high Price-to-Book multiple of 9.2.,0.765,0.85
SUNPHARMA,"Conservative leverage with a healthy Debt-to-Equity of 0.05.
Accelerated earnings expansion with a 5-year PAT CAGR of 24.5%.
Strong cash generation with a latest Free Cash Flow of ₹11,372.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.26).
Excellent debt servicing capacity with an Interest Coverage Ratio of 58.3x.
Attractive dividend yield of 3.9% provides stable cash income.",Subject to general macroeconomic cycles and equity market volatility risks.,0.9633,0.85
TATACONSUM,"Conservative leverage with a healthy Debt-to-Equity of 0.22.
Robust long-term top-line growth with a 5-year Sales CAGR of 16.0%.
Accelerated earnings expansion with a 5-year PAT CAGR of 21.6%.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.59).
Excellent debt servicing capacity with an Interest Coverage Ratio of 25.3x.","Subpar return on equity (ROE) of 7.6% indicates weak profitability relative to equity.
Low return on capital employed (ROCE) of 8.3% shows inefficient capital allocation.",0.9081,0.85
TATAMOTORS,"Excellent return on equity (ROE) of 37.5% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 41.2% shows highly profitable operations.
Strong cash generation with a latest Free Cash Flow of ₹45,133.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 2.14).
Attractive dividend yield of 3.6% provides stable cash income.",Stock trades at a premium valuation multiple with a high P/E ratio of 67.1 (above sector median of 38.0).,0.9794,0.85
TATAPOWER,"Robust long-term top-line growth with a 5-year Sales CAGR of 15.5%.
Strong cash generation with a latest Free Cash Flow of ₹3,569.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 2.94).",Subject to general macroeconomic cycles and equity market volatility risks.,0.9169,0.85
TATASTEEL,"Strong cash generation with a latest Free Cash Flow of ₹6,048.0 Cr.","Subpar return on equity (ROE) of -5.3% indicates weak profitability relative to equity.
Low return on capital employed (ROCE) of -5.9% shows inefficient capital allocation.
Premium asset pricing with a high Price-to-Book multiple of 9.2.",0.7351,0.85
TCS,"Excellent return on equity (ROE) of 50.9% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 56.0% shows highly profitable operations.
Conservative leverage with a healthy Debt-to-Equity of 0.09.
Strong cash generation with a latest Free Cash Flow of ₹50,429.0 Cr.
Excellent debt servicing capacity with an Interest Coverage Ratio of 87.1x.
Generous free cash flow yield of 10.9% indicates undervaluation.
Efficient asset utilization with an asset turnover ratio of 1.66.",Subject to general macroeconomic cycles and equity market volatility risks.,0.9895,0.85
TECHM,"Conservative leverage with a healthy Debt-to-Equity of 0.10.
Strong cash generation with a latest Free Cash Flow of ₹5,058.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 2.66).
Excellent debt servicing capacity with an Interest Coverage Ratio of 13.9x.","Low return on capital employed (ROCE) of 9.9% shows inefficient capital allocation.
Sluggish earnings performance with a 5-year PAT CAGR of -11.0%.
Unsustainably high dividend payout ratio of 150.0%, leaving little retained earnings for growth.",0.9383,0.85
TITAN,"Excellent return on equity (ROE) of 37.2% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 40.9% shows highly profitable operations.
Robust long-term top-line growth with a 5-year Sales CAGR of 20.9%.
Accelerated earnings expansion with a 5-year PAT CAGR of 20.3%.
Strong cash generation with a latest Free Cash Flow of ₹1,506.0 Cr.
Excellent debt servicing capacity with an Interest Coverage Ratio of 9.4x.
Attractive dividend yield of 3.1% provides stable cash income.
Efficient asset utilization with an asset turnover ratio of 1.62.","Lower earnings quality with a CFO/PAT ratio of only 0.48, indicating accrual drag.
Premium asset pricing with a high Price-to-Book multiple of 10.5.",0.9899,0.85
TORNTPHARM,"Excellent return on equity (ROE) of 24.2% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 26.6% shows highly profitable operations.
Accelerated earnings expansion with a 5-year PAT CAGR of 30.6%.
Strong cash generation with a latest Free Cash Flow of ₹3,106.0 Cr.
High-quality earnings backed by a strong cash-flow-to-profit conversion (CFO/PAT ratio of 1.97).
Excellent debt servicing capacity with an Interest Coverage Ratio of 9.9x.",Subject to general macroeconomic cycles and equity market volatility risks.,0.9771,0.85
TRENT,"Excellent return on equity (ROE) of 36.3% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 39.9% shows highly profitable operations.
Robust long-term top-line growth with a 5-year Sales CAGR of 36.3%.
Accelerated earnings expansion with a 5-year PAT CAGR of 73.1%.
Strong cash generation with a latest Free Cash Flow of ₹841.0 Cr.
Excellent debt servicing capacity with an Interest Coverage Ratio of 8.0x.
Attractive dividend yield of 3.5% provides stable cash income.
Efficient asset utilization with an asset turnover ratio of 1.73.",Premium asset pricing with a high Price-to-Book multiple of 11.8.,0.9913,0.85
TVSMOTOR,"Excellent return on equity (ROE) of 26.2% indicates high capital efficiency.
Strong return on capital employed (ROCE) of 28.8% shows highly profitable operations.
Attractive dividend yield of 3.1% provides stable cash income.","High leverage with a Debt-to-Equity ratio of 3.83, increasing insolvency risk.
Latest free cash flow is negative (₹-2,254.0 Cr), requiring external capital or cash drawdowns.
Lower earnings quality with a CFO/PAT ratio of only -0.70, indicating accrual drag.",0.9092,0.85
